172.18.0.1 - - [02/Oct/2025:08:59:20 +0000] "GET / HTTP/1.1" 200 61071 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:20 +0000] "GET /manifest.json HTTP/1.1" 200 465 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:20 +0000] "GET /images/team/mashulia.webp HTTP/1.1" 200 112770 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:20 +0000] "GET / HTTP/1.1" 200 61071 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:21 +0000] "GET /icons/ui/emblem.webp HTTP/1.1" 200 1509310 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:21 +0000] "GET /src/features/analytics/analytics HTTP/1.1" 200 61071 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:21 +0000] "GET /src/shared/lib/performance HTTP/1.1" 200 61071 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:21 +0000] "GET /manifest.json HTTP/1.1" 200 465 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/proof/diplom_antikrizisnoe_upravlenie_page_1.webp HTTP/1.1" 200 82406 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/proof/povishenie_kvalifikacii.webp HTTP/1.1" 200 354394 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/proof/diplom_antikrizisnoe_upravlenie_page_2.webp HTTP/1.1" 200 165466 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/team/briancev.webp HTTP/1.1" 200 10796 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/team/pashkova.webp HTTP/1.1" 200 8160 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:24 +0000] "GET /images/team/angelika.webp HTTP/1.1" 200 88756 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:57 +0000] "GET /blog/ HTTP/1.1" 200 18782 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:58 +0000] "GET /blog/ HTTP/1.1" 200 18782 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:58 +0000] "GET /manifest.json HTTP/1.1" 200 465 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:58 +0000] "GET / HTTP/1.1" 200 61071 "http://localhost:3000/blog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:59:58 +0000] "GET /src/features/analytics/analytics HTTP/1.1" 200 61071 "http://localhost:3000/blog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
